step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,rolling_vol,mean_deriv,predicted_degradation_step,actual_degradation_step,lead_time,fast_J,robust_J,timestamp
46,0.9999067187309265,0.9997322606846664,2.3041000000167955e-05,2.302442190458235e-05,fast,STABLE,4.3614511564982195e-05,7.559182708941432e-05,2.7412637170853847e-05,,,,0.00011632226907365428,0.00014851749801647607,1770134193.2729568
47,0.9998769164085388,0.9997611918294409,2.2790999999910966e-05,2.2977737523648077e-05,fast,STABLE,2.893114477453551e-05,7.338274749773778e-05,4.1175257441761205e-05,,,,0.0001458745914610926,5.3263484954824136e-05,1770134193.274454
48,0.9998141527175903,0.9997717840070708,2.2584000000103188e-05,2.28989900189391e-05,fast,STABLE,1.0592177629886734e-05,7.235829141720321e-05,3.101378383427722e-05,,,,0.00020843128240977116,0.0003273012462767788,1770134193.27557
49,0.9997054934501648,0.9997585258956896,2.2834000000138133e-05,2.2885992015178907e-05,fast,STABLE,-1.3258111381198034e-05,7.214908697891247e-05,2.1389720457309914e-05,,,,0.0003173405498353432,0.00020192325973522607,1770134193.276675
50,0.9997087121009827,0.9997485631367483,2.2625000000164874e-05,2.28337936121761e-05,fast,STABLE,-9.962758941273187e-06,7.456784952165943e-05,1.1983392729386643e-05,,,,0.00031391289901749886,0.0002387777673644731,1770134193.278165
51,0.9997936487197876,0.9997575802533563,2.291600000003946e-05,2.285023488974877e-05,fast,STABLE,9.017116607945574e-06,7.014497186945972e-05,5.06391373797932e-06,,,,0.0002292672802124418,8.532499313362862e-05,1770134193.279274
52,0.9997859597206116,0.9997632561468074,2.2374999999907885e-05,2.2755187911780593e-05,fast,STABLE,5.675893451129177e-06,5.117972049832028e-05,4.1286347329805295e-07,,,,0.00023641527938833562,0.00028194790231328426,1770134193.280381
53,0.9995776414871216,0.9997261332148702,2.262499999994283e-05,2.272915032941304e-05,fast,STABLE,-3.7122931937139114e-05,3.6427829685219185e-05,-9.130158440107116e-06,,,,0.0004449835128783608,0.0002715709034117886,1770134193.2818828
54,0.9999175071716309,0.9997644080062225,2.262499999994283e-05,2.2708320263519e-05,fast,STABLE,3.827479135221079e-05,2.3848427110256402e-05,1.1764221065746483e-06,,,,0.00010511782836908345,8.45315281066128e-05,1770134193.2829921
55,0.9996738433837891,0.9997462950817358,2.2458999999974694e-05,2.265845621081014e-05,fast,STABLE,-1.8112924486612947e-05,1.3868581096729417e-05,-4.5361100249330376e-07,,,,0.0003486156162109122,9.492134094246651e-05,1770134193.284106
